Category,Subcategory,Action,Time,Sentence,Response
lights,kitchen,on,today,Illuminate the kitchen today.,Turning on the kitchen lights today.
lights,kitchen,on,tomorrow,Illuminate the kitchen tomorrow.,Turning on the kitchen lights tomorrow.
lights,kitchen,on,hour,Turn on the light in the kitchen in 10 hours.,Turning on the kitchen lights in 10 hours.
lights,kitchen,on,day,Turn on the light in the kitchen in 1 day.,Turning on the kitchen lights in 1 day.
lights,dining room,on,today,Illuminate the dining room today.,Turning on the dining room lights today.
lights,dining room,on,today,Don't illuminate the dining room today.,"Okay, I won’t turn on the dining room lights today."
lights,dining room,on,tomorrow,Illuminate the dining room tomorrow.,Turning on the dining room lights tomorrow.
lights,dining room,on,hour,Turn on the light i n the dining room in 10 hours.,Turning on the dining room lights in 10 hours.
lights,dining room,on,day,Turn on the light in the dining room in 1 day.,Turning on the dining room lights in 1 day.
lights,bathroom,on,now,Turn on the light in the bathroom.,Turning on the bathroom lights now.
lights,none,none,now,Don't turn on the light right now.,"Okay, I won’t turn on the lights right now."
lights,none,none,now,I would get mad if you'd put on the light right now.,No action will be taken.
lights,none,on,now,I would not like it if you wouldn't turn on the light right now.,Turning on the lights now.
lights,living room,on,now,Is the light on in the living room.,Turning on the living room lights now.
lights,living room,on,hour,Would you illuminate the living room in one hour for me please.,Turning on the living room lights in 1 hour.
lights,none,on,now,It would be great if you'd turn on the light for me.,Turning on the lights now.
lights,kitchen,on,now,Light on in kitchen.,Turning on the kitchen lights now.
lights,living room,off,hour,Light off in living room in a few hours.,Turning off the living room lights in 1 hour.
lights,basement,off,now,Turn the light off in the basement.,Turning off the basement lights now.
lights,dining room,off,now,Turn the light off in the dining room.,Turning off the dining room lights.
lights,none,on,now,I would like if you made it brighter.,Making it brighter now.
lights,none,on,minute,I would like if you made it brighter in 3 minutes.,Making it brighter in 3 minutes.
lights,none,on,minute,Can you make it brighter here in 8 minutes?,Making it brighter here in 8 minutes.
lights,none,off,now,Can you make it more dark here?,Dimming the lights here.
lights,none,none,now,Don't make it more dark here.,Not dimming the lights here.
lights,dining room,none,now,I would get mad if you would turn on the light in the dining room right now.,I won't turn on the dining room lights right now.
lights,bathroom,on,now,Is the light on in the bathroom?,"Yes, the bathroom light is on."
lights,bathroom,on,now,Is the light on in the bathroom.,"Yes, the bathroom light is on."
lights,bathroom,on,now,Has the light been on long in the bathroom?,The bathroom light has been on for a while.
lights,bathroom,off,now,Has the light been off long in the kitchen?,The kitchen light has been off for a while.
lights,bathroom,on,now,Is the light in the bathroom on?,"Yes, the bathroom light is on."
lights,none,on,now,Did you turn on the light already?,"Yes, the light is already on."
lights,none,on,now,Can you please turn on the light?,Turning on the light.
lights,none,on,now,Help me to turn on the light.,Turning on the light.
lights,none,on,minute,Can you please turn on the light in a minute?,Turning on the light in 1 minute.
lights,none,on,minute,Help me to turn on the light in a minute.,Turning on the light in 1 minute.
lights,none,on,now,It is so dark here.,Turning on the lights now.
lights,none,on,now,I can't see anything.,Turning on the lights now.
lights,none,on,now,Lighten the room.,Brightening the room.
lights,none,on,minute,Can you please turn on the light in a few minutes?,Turning on the light in a few minutes.
lights,none,on,minute,Help me to turn on the light in a few minutes.,Turning on the light in a few minutes.
lights,none,on,minute,Lighten the room in a few minutes.,Brightening the room in a few minutes.
lights,none,on,minute,Lighten the room in 5 minutes.,Brightening the room in 5 minutes.
lights,kitchen,off,minute,Turn the light off in the kitchen in 10 minutes.,Turning off the kitchen lights in 10 minutes.
lights,kitchen,none,minute,Don't turn the light off in the kitchen in 10 minutes.,I won’t turn off the kitchen lights in 10 minutes.
lights,attic,on,now,Make it less dark in the attic now.,Making it brighter in the attic now.
lights,attic,on,now,Turn on the light in the attic.,Turning on the attic lights.
lights,attic,on,now,Illuminate the attic.,Turning on the attic lights.
lights,none,off,hour,Turn off the lights in one hour.,Turning off the lights in 1 hour.
lights,none,on,now,Turn on the light.,Turning on the lights.
lights,all,on,now,Flicker the lights for me.,Flickering the lights.
lights,none,on,now,Turn on the refrigerator.,Turning on the refrigerator.
lights,none,on,now,Turn on the oven.,Turning on the oven.
lights,none,on,now,Turn on the music system.,Turning on the music system.
lights,attic,off,now,Turn off the light in the attic.,Turning off the attic light.
lights,basement,off,now,Turn off the light in the basement.,Turning off the basement light.
lights,kitchen,off,now,Turn off the light in the kitchen.,Turning off the kitchen light.
lights,library,off,now,Turn off the light in the library.,Turning off the library light.
lights,dining room,off,now,Turn off the light in the dining room.,Turning off the dining room light.
lights,cellar,off,now,Turn off the light in the cellar.,Turning off the cellar light.
lights,attic,off,now,Turn off the lights in the attic.,Turning off the attic lights.
lights,basement,off,now,Turn off the lights in the basement.,Turning off the basement lights.
lights,kitchen,off,now,Turn off the lights in the kitchen.,Turning off the kitchen lights.
lights,library,off,now,Turn off the lights in the library.,Turning off the library lights.
lights,dining room,off,now,Turn off the lights in the dining room.,Turning off the dining room lights.
lights,cellar,off,now,Turn off the lights in the cellar.,Turning off the cellar lights.
lights,random,off,minute,Turn off something in 45 minutes.,Turning something off in 45 minutes.
lights,random,on,now,Turn on something.,Turning something on.
lights,random,on,day,Put on a random appliance in 7 days.,Activating a random appliance in 7 days.
lights,none,none,now,lights.,No action specified.
lights,bathroom,on,tomorrow,Can you make it less dark in the bathroom tomorrow?,Dimming the bathroom lights tomorrow.
lights,toilet,on,tomorrow,Can you make it less dark in the toilet tomorrow?,Dimming the toilet lights tomorrow.
lights,attic,on,hour,Turn on the light in the attic in one hour.,Turning on the attic light in 1 hour.
lights,cellar,off,now,Can you turn off the lights in the cellar?,Turning off the cellar lights.
lights,none,none,now,I would get mad if you turn on the lights right now.,I won’t turn on the lights right now.
lights,cellar,on,now,It is dark in the cellar.,Turning on the lights in the cellar.
lights,bathroom,on,now,It is dark in the bathroom.,Turning on the lights in the bathroom.
lights,living room,on,now,It is dark in the living room.,Turning on the lights in the living room.
lights,library,on,now,It is dark in the library.,Turning on the lights in the library.
lights,toilet,on,now,It is dark in the toilet.,Turning on the lights in the toilet.
lights,attic,on,now,It is dark in the attic.,Turning on the lights in the attic.
lights,basement,on,now,It is dark in the basement.,Turning on the lights in the basement.
lights,dining room,on,minute,Can you make it less dark in the dining room in 5 minutes?,Brightening the dining room in 5 minutes.
lights,cellar,on,minute,Can you make it less dark in the cellar in 85 minutes?,Brightening the cellar in 85 minutes.
lights,attic,on,minute,Can you make it less dark in the attic in 5 minutes?,Brightening the attic in 5 minutes.
lights,kitchen,on,minute,Can you make it less dark in the kitchen in 45 minutes?,Brightening the kitchen in 45 minutes.
lights,toilet,on,minute,Can you make it less dark in the toilet in 15 minutes?,Brightening the toilet in 15 minutes.
lights,library,on,minute,Can you make it less dark in the library in 50 minutes?,Brightening the library in 50 minutes.
lights,basement,on,minute,Can you make it less dark in the basement in 5 minutes?,Brightening the basement in 5 minutes.
lights,dining room,on,hour,Can you make it more bright in the dining room in 15 hours?,Brightening the dining room in 15 hours.
lights,cellar,on,hour,Can you make it more bright in the cellar in 50 hours?,Brightening the cellar in 50 hours.
lights,attic,on,hour,Can you make it more bright in the attic in an hour?,Brightening the attic in 1 hour.
lights,kitchen,on,day,Can you make it more bright in the kitchen in 5 days?,Brightening the kitchen in 5 days.
lights,toilet,on,week,Can you make it more bright in the toilet in 5 weeks?,Brightening the toilet in 5 weeks.
lights,library,on,minute,Can you make it more bright in the library in 2 minutes?,Brightening the library in 2 minutes.
lights,basement,on,minute,Can you make it more bright in the basement in 5 minutes?,Brightening the basement in 5 minutes.
lights,dining room,off,hour,Can you make it less bright in the dining room in 15 hours?,Dimming the dining room in 15 hours.
lights,cellar,off,hour,Can you make it less bright in the cellar in 50 hours?,Dimming the cellar in 50 hours.
lights,attic,off,hour,Can you make it less bright in the attic in an hour?,Dimming the attic in 1 hour.
lights,kitchen,off,day,Can you make it less bright in the kitchen in 5 days?,Dimming the kitchen in 5 days.
lights,toilet,off,week,Can you make it less bright in the toilet in 5 weeks?,Dimming the toilet in 5 weeks.
lights,library,off,minute,Can you make it less bright in the library in 2 minutes?,Dimming the library in 2 minutes.
lights,basement,off,minute,Can you make it less bright in the basement in 5 minutes?,Dimming the basement in 5 minutes.
lights,none,none,now,Don't turn off the lights.,"Okay, I won’t turn off the lights."
lights,none,on,none,Turn on the lights when I get home.,Turning on the lights when you get home.
lights,none,on,none,Turn on the lights when it's dark outside.,Turning on the lights when it gets dark outside.
lights,none,off,none,Turn off the lights when it is light outside.,Turning off the lights when it gets light outside.
camera,none,none,month,Was there any motion between September and October?,Checking for motion events between September and October.
camera,bathroom,on,yesterday,Was the camera in the bathroom on yesterday?,Yes the bathroom camera was on yesterday.
camera,toilet,on,yesterday,Was the camera in the toilet on yesterday?,Yes the toilet camera was on yesterday.
camera,all,none,now,Was there motion?,Yes motion was detected.
camera,none,on,now,Is the recording device on?,Yes the recording device is currently on.
camera,none,none,now,Was there motion with the motion viewer?,Yes the motion viewer detected activity.
camera,outside,none,now,Would you tell me if there was any motion on the camera outside?,Yes motion was detected on the outside camera.
camera,outside,none,now,Was there any motion on the camera outside?,Yes motion was detected on the outside camera.
camera,kitchen,none,yesterday,Was there movement on the camera in the kitchen yesterday?,Yes there was motion detected in the kitchen yesterday.
camera,attic,none,yesterday,Was there movement on the camera in the attic yesterday?,Yes there was motion detected in the attic yesterday.
camera,bathroom,none,yesterday,Was there movement on the camera in the bathroom yesterday?,Yes there was motion detected in the bathroom yesterday.
camera,backyard,none,yesterday,Was there movement on the camera in the backyard yesterday?,Yes there was motion detected in the backyard yesterday.
camera,living room,none,yesterday,Was there movement on the camera in the living room yesterday?,Yes there was motion detected in the living room yesterday.
camera,living room,on,now,I would like it that you'd tell me if the camera in the living room is on.,Yes the living room camera is currently on.
camera,all,none,now,Where there strangers tonight at my house?,There may have been strangers detected around your home tonight.
camera,all,none,now,Did you see any movement tonight?,Yes there was some movement detected tonight.
camera,outside,none,now,Was there something strange outside?,Yes unusual activity was detected outside.
camera,all,none,now,Is there something I should know about the motion?,Yes motion was detected that may require your attention.
camera,all,none,now,What do you see on the camera?,The cameras are currently showing the monitored areas with no unusual activity.
camera,all,none,now,How many cameras are there?,There are multiple cameras installed across different locations.
