Category,Subcategory,Action,Count,ROUGE-L (%),Cosine Similarity (%),Edit Distance Similarity (%)
camera,all,on,4,87.5,94.89,80.36
camera,all,statusquery,3,88.89,100.0,83.14
camera,attic,on,5,77.78,95.37,80.45
camera,attic,statusquery,6,95.83,100.0,92.23
camera,backyard,on,5,100.0,100.0,96.58
camera,backyard,statusquery,5,73.1,100.0,60.3
camera,basement,on,6,75.64,100.0,64.92
camera,basement,statusquery,4,91.43,100.0,79.86
camera,bathroom,on,5,84.0,100.0,72.4
camera,bathroom,statusquery,5,93.14,100.0,83.55
camera,cellar,on,6,73.65,100.0,69.89
camera,cellar,statusquery,4,93.75,100.0,91.81
camera,dining room,statusquery,5,78.43,100.0,71.55
camera,kitchen,on,6,73.33,100.0,72.64
camera,kitchen,statusquery,5,72.67,100.0,69.03
camera,library,on,4,100.0,100.0,95.97
camera,library,statusquery,4,91.67,100.0,86.43
camera,living room,on,4,66.37,100.0,57.77
camera,living room,statusquery,5,75.71,100.0,74.28
camera,none,on,3,100.0,100.0,96.22
camera,none,statusquery,4,72.62,100.0,71.17
camera,outside,on,4,76.19,100.0,72.44
camera,outside,statusquery,4,75.07,100.0,70.5
camera,toilet,on,3,87.5,92.33,86.91
lights,all,on,3,100.0,100.0,96.05
lights,attic,off,3,100.0,100.0,95.57
lights,attic,on,4,82.14,100.0,85.73
lights,basement,off,4,95.75,95.23,93.24
lights,basement,on,3,100.0,100.0,96.6
lights,bathroom,off,3,98.04,100.0,93.26
lights,bathroom,on,3,96.97,100.0,93.15
lights,cellar,off,3,98.04,93.64,93.67
lights,cellar,on,4,94.23,100.0,85.59
lights,dining room,off,3,92.59,100.0,92.09
lights,dining room,on,3,98.25,91.94,94.62
lights,dining room,statusquery,3,80.0,100.0,75.72
lights,kitchen,off,3,100.0,100.0,96.31
lights,kitchen,on,3,92.31,92.54,91.17
lights,kitchen,statusquery,5,86.07,100.0,81.85
lights,library,off,3,100.0,100.0,96.18
lights,library,on,3,100.0,100.0,95.75
lights,living room,off,3,100.0,100.0,96.94
lights,living room,on,3,100.0,100.0,96.16
lights,none,off,3,89.17,100.0,86.08
lights,none,on,5,89.47,91.85,78.17
lights,none,statusquery,4,88.53,100.0,83.93
lights,random,off,3,86.27,93.73,78.29
lights,random,on,3,94.12,100.0,89.98
lights,toilet,off,3,100.0,100.0,96.22
lights,toilet,on,3,100.0,100.0,96.5
music,ambient,check,3,81.02,100.0,78.01
music,ambient,play,4,100.0,100.0,97.46
music,ambient,stop,3,81.48,100.0,84.51
music,artist,check,3,75.93,100.0,68.35
music,artist,play,6,59.81,100.0,56.03
music,device,check,4,65.24,100.0,63.99
music,device,multiroom,5,78.29,95.59,73.58
music,device,switchdevice,3,64.85,100.0,62.35
music,device,volumesync,6,63.65,100.0,60.14
music,equalizer,adjust,3,71.67,100.0,78.35
music,genre,play,4,93.18,100.0,93.62
music,multisource,check,3,70.41,100.0,70.32
music,multisource,play,4,74.08,94.45,71.25
music,multisource,sync,4,100.0,100.0,97.29
music,none,off,3,66.67,100.0,72.06
music,playback,check,4,61.85,100.0,63.49
music,playback,loop,3,82.05,92.77,79.79
music,playback,pause,3,86.32,100.0,78.93
music,playback,play,3,94.44,100.0,91.23
music,playback,previous,3,97.78,93.22,92.43
music,playback,repeat,3,74.6,100.0,65.79
music,playback,restart,3,83.02,100.0,74.86
music,playback,resume,3,100.0,100.0,95.77
music,playback,skip,5,88.0,100.0,86.26
