
Memory Usage at After Clearing GPU Memory:
  Allocated: 0.00 GiB
  Reserved: 0.00 GiB
  Free: 11.35 GiB
  Total: 11.35 GiB

Memory Usage at After Loading Base Model:
  Allocated: 6.43 GiB
  Reserved: 7.22 GiB
  Free: 4.93 GiB
  Total: 11.35 GiB

Memory Usage at After Applying LoRA:
  Allocated: 6.44 GiB
  Reserved: 7.23 GiB
  Free: 4.91 GiB
  Total: 11.35 GiB
{'loss': 3.9301, 'grad_norm': 3.4515719413757324, 'learning_rate': 9.947397563676634e-05, 'epoch': 0.04}
{'loss': 1.7194, 'grad_norm': 2.266383647918701, 'learning_rate': 9.89202657807309e-05, 'epoch': 0.08}
{'loss': 0.9758, 'grad_norm': 2.0073323249816895, 'learning_rate': 9.836655592469546e-05, 'epoch': 0.12}
{'loss': 0.7844, 'grad_norm': 1.9304370880126953, 'learning_rate': 9.781284606866003e-05, 'epoch': 0.16}
{'loss': 0.7937, 'grad_norm': 2.216482162475586, 'learning_rate': 9.725913621262459e-05, 'epoch': 0.19}
{'loss': 0.7455, 'grad_norm': 1.9443726539611816, 'learning_rate': 9.670542635658916e-05, 'epoch': 0.23}
{'loss': 0.7176, 'grad_norm': 2.1741225719451904, 'learning_rate': 9.615171650055371e-05, 'epoch': 0.27}
{'loss': 0.6846, 'grad_norm': 1.6913899183273315, 'learning_rate': 9.559800664451828e-05, 'epoch': 0.31}
{'loss': 0.6789, 'grad_norm': 2.0006723403930664, 'learning_rate': 9.504429678848285e-05, 'epoch': 0.35}
{'loss': 0.6564, 'grad_norm': 1.7177202701568604, 'learning_rate': 9.44905869324474e-05, 'epoch': 0.39}
{'loss': 0.6485, 'grad_norm': 1.741915225982666, 'learning_rate': 9.393687707641196e-05, 'epoch': 0.43}
{'loss': 0.6457, 'grad_norm': 2.1153812408447266, 'learning_rate': 9.338316722037653e-05, 'epoch': 0.47}
{'loss': 0.6058, 'grad_norm': 1.4001370668411255, 'learning_rate': 9.282945736434109e-05, 'epoch': 0.5}
{'loss': 0.6029, 'grad_norm': 1.2658203840255737, 'learning_rate': 9.227574750830565e-05, 'epoch': 0.54}
{'loss': 0.615, 'grad_norm': 1.5654075145721436, 'learning_rate': 9.17220376522702e-05, 'epoch': 0.58}
{'loss': 0.5807, 'grad_norm': 1.6708396673202515, 'learning_rate': 9.116832779623478e-05, 'epoch': 0.62}
{'loss': 0.5908, 'grad_norm': 1.6385905742645264, 'learning_rate': 9.061461794019935e-05, 'epoch': 0.66}
{'loss': 0.5882, 'grad_norm': 1.6683686971664429, 'learning_rate': 9.00609080841639e-05, 'epoch': 0.7}
{'loss': 0.5974, 'grad_norm': 1.8027489185333252, 'learning_rate': 8.950719822812846e-05, 'epoch': 0.74}
{'loss': 0.5733, 'grad_norm': 1.6380324363708496, 'learning_rate': 8.895348837209302e-05, 'epoch': 0.78}
{'loss': 0.5554, 'grad_norm': 1.5127347707748413, 'learning_rate': 8.839977851605759e-05, 'epoch': 0.81}
{'loss': 0.5507, 'grad_norm': 1.5098804235458374, 'learning_rate': 8.784606866002215e-05, 'epoch': 0.85}
{'loss': 0.5311, 'grad_norm': 1.4545409679412842, 'learning_rate': 8.729235880398672e-05, 'epoch': 0.89}
{'loss': 0.516, 'grad_norm': 1.7702796459197998, 'learning_rate': 8.673864894795128e-05, 'epoch': 0.93}
{'loss': 0.5174, 'grad_norm': 2.0313448905944824, 'learning_rate': 8.618493909191584e-05, 'epoch': 0.97}
{'eval_loss': 0.46319741010665894, 'eval_runtime': 19.9436, 'eval_samples_per_second': 23.015, 'eval_steps_per_second': 11.533, 'epoch': 1.0}
{'loss': 0.4885, 'grad_norm': 2.2276980876922607, 'learning_rate': 8.563122923588041e-05, 'epoch': 1.01}
{'loss': 0.4247, 'grad_norm': 1.666411280632019, 'learning_rate': 8.507751937984496e-05, 'epoch': 1.05}
{'loss': 0.3706, 'grad_norm': 2.253377914428711, 'learning_rate': 8.452380952380952e-05, 'epoch': 1.09}
{'loss': 0.339, 'grad_norm': 1.4609826803207397, 'learning_rate': 8.39700996677741e-05, 'epoch': 1.12}
{'loss': 0.3389, 'grad_norm': 1.8225808143615723, 'learning_rate': 8.341638981173865e-05, 'epoch': 1.16}
{'loss': 0.3615, 'grad_norm': 1.923717737197876, 'learning_rate': 8.286267995570321e-05, 'epoch': 1.2}
{'loss': 0.347, 'grad_norm': 1.4815163612365723, 'learning_rate': 8.230897009966778e-05, 'epoch': 1.24}
{'loss': 0.3529, 'grad_norm': 1.5545275211334229, 'learning_rate': 8.175526024363234e-05, 'epoch': 1.28}
{'loss': 0.3332, 'grad_norm': 1.5469290018081665, 'learning_rate': 8.12015503875969e-05, 'epoch': 1.32}
{'loss': 0.3486, 'grad_norm': 1.5319159030914307, 'learning_rate': 8.064784053156147e-05, 'epoch': 1.36}
{'loss': 0.3572, 'grad_norm': 1.3987845182418823, 'learning_rate': 8.009413067552602e-05, 'epoch': 1.4}
{'loss': 0.332, 'grad_norm': 1.8558638095855713, 'learning_rate': 7.95404208194906e-05, 'epoch': 1.43}
{'loss': 0.3399, 'grad_norm': 1.6589823961257935, 'learning_rate': 7.898671096345516e-05, 'epoch': 1.47}
{'loss': 0.3458, 'grad_norm': 1.9078396558761597, 'learning_rate': 7.843300110741971e-05, 'epoch': 1.51}
{'loss': 0.3256, 'grad_norm': 1.7434172630310059, 'learning_rate': 7.787929125138427e-05, 'epoch': 1.55}
{'loss': 0.3269, 'grad_norm': 1.5469167232513428, 'learning_rate': 7.732558139534884e-05, 'epoch': 1.59}
{'loss': 0.3379, 'grad_norm': 1.4572298526763916, 'learning_rate': 7.67718715393134e-05, 'epoch': 1.63}
{'loss': 0.322, 'grad_norm': 2.1257810592651367, 'learning_rate': 7.621816168327797e-05, 'epoch': 1.67}
{'loss': 0.3412, 'grad_norm': 1.7338978052139282, 'learning_rate': 7.566445182724253e-05, 'epoch': 1.71}
{'loss': 0.3427, 'grad_norm': 1.6577397584915161, 'learning_rate': 7.51107419712071e-05, 'epoch': 1.74}
{'loss': 0.3592, 'grad_norm': 1.2715332508087158, 'learning_rate': 7.455703211517166e-05, 'epoch': 1.78}
{'loss': 0.3189, 'grad_norm': 1.9276034832000732, 'learning_rate': 7.400332225913622e-05, 'epoch': 1.82}
{'loss': 0.3342, 'grad_norm': 1.5401804447174072, 'learning_rate': 7.344961240310077e-05, 'epoch': 1.86}
{'loss': 0.3241, 'grad_norm': 1.725773811340332, 'learning_rate': 7.289590254706534e-05, 'epoch': 1.9}
{'loss': 0.3279, 'grad_norm': 1.8766452074050903, 'learning_rate': 7.234219269102991e-05, 'epoch': 1.94}
{'loss': 0.3415, 'grad_norm': 1.5572389364242554, 'learning_rate': 7.178848283499446e-05, 'epoch': 1.98}
{'eval_loss': 0.32549387216567993, 'eval_runtime': 19.9435, 'eval_samples_per_second': 23.015, 'eval_steps_per_second': 11.533, 'epoch': 2.0}
{'loss': 0.3204, 'grad_norm': 1.3230814933776855, 'learning_rate': 7.123477297895903e-05, 'epoch': 2.02}
{'loss': 0.3365, 'grad_norm': 1.6750630140304565, 'learning_rate': 7.068106312292359e-05, 'epoch': 2.05}
{'loss': 0.3178, 'grad_norm': 1.622187614440918, 'learning_rate': 7.012735326688816e-05, 'epoch': 2.09}
{'loss': 0.3041, 'grad_norm': 1.8198621273040771, 'learning_rate': 6.957364341085272e-05, 'epoch': 2.13}
{'loss': 0.3125, 'grad_norm': 1.6617350578308105, 'learning_rate': 6.901993355481728e-05, 'epoch': 2.17}
{'loss': 0.3095, 'grad_norm': 1.3802608251571655, 'learning_rate': 6.846622369878183e-05, 'epoch': 2.21}
{'loss': 0.3082, 'grad_norm': 1.487305998802185, 'learning_rate': 6.791251384274641e-05, 'epoch': 2.25}
{'loss': 0.323, 'grad_norm': 1.5231828689575195, 'learning_rate': 6.735880398671098e-05, 'epoch': 2.29}
{'loss': 0.3201, 'grad_norm': 1.5291061401367188, 'learning_rate': 6.680509413067553e-05, 'epoch': 2.33}
{'loss': 0.303, 'grad_norm': 1.3771153688430786, 'learning_rate': 6.625138427464009e-05, 'epoch': 2.36}
{'loss': 0.3173, 'grad_norm': 2.0621862411499023, 'learning_rate': 6.569767441860465e-05, 'epoch': 2.4}
{'loss': 0.3125, 'grad_norm': 1.5265337228775024, 'learning_rate': 6.514396456256922e-05, 'epoch': 2.44}
{'loss': 0.3113, 'grad_norm': 1.4837336540222168, 'learning_rate': 6.459025470653378e-05, 'epoch': 2.48}
{'loss': 0.2972, 'grad_norm': 1.6234663724899292, 'learning_rate': 6.403654485049833e-05, 'epoch': 2.52}
{'loss': 0.3142, 'grad_norm': 1.3458398580551147, 'learning_rate': 6.348283499446291e-05, 'epoch': 2.56}
{'loss': 0.3129, 'grad_norm': 2.0568184852600098, 'learning_rate': 6.292912513842747e-05, 'epoch': 2.6}
{'loss': 0.3021, 'grad_norm': 1.4809798002243042, 'learning_rate': 6.237541528239202e-05, 'epoch': 2.64}
{'loss': 0.324, 'grad_norm': 1.3404953479766846, 'learning_rate': 6.182170542635659e-05, 'epoch': 2.68}
{'loss': 0.3052, 'grad_norm': 1.7952299118041992, 'learning_rate': 6.126799557032115e-05, 'epoch': 2.71}
{'loss': 0.2964, 'grad_norm': 1.6205577850341797, 'learning_rate': 6.0714285714285715e-05, 'epoch': 2.75}
{'loss': 0.3063, 'grad_norm': 1.5202782154083252, 'learning_rate': 6.016057585825028e-05, 'epoch': 2.79}
{'loss': 0.3123, 'grad_norm': 1.9563233852386475, 'learning_rate': 5.960686600221484e-05, 'epoch': 2.83}
{'loss': 0.3, 'grad_norm': 1.7865265607833862, 'learning_rate': 5.90531561461794e-05, 'epoch': 2.87}
{'loss': 0.3003, 'grad_norm': 1.484687328338623, 'learning_rate': 5.8499446290143964e-05, 'epoch': 2.91}
{'loss': 0.3014, 'grad_norm': 2.0121593475341797, 'learning_rate': 5.7945736434108534e-05, 'epoch': 2.95}
{'loss': 0.3112, 'grad_norm': 1.5024076700210571, 'learning_rate': 5.739202657807309e-05, 'epoch': 2.99}
{'eval_loss': 0.3122047185897827, 'eval_runtime': 19.9449, 'eval_samples_per_second': 23.013, 'eval_steps_per_second': 11.532, 'epoch': 3.0}
{'loss': 0.3166, 'grad_norm': 1.750400185585022, 'learning_rate': 5.6838316722037655e-05, 'epoch': 3.02}
{'loss': 0.2807, 'grad_norm': 1.8000637292861938, 'learning_rate': 5.628460686600222e-05, 'epoch': 3.06}
{'loss': 0.283, 'grad_norm': 1.5805325508117676, 'learning_rate': 5.5730897009966776e-05, 'epoch': 3.1}
{'loss': 0.2955, 'grad_norm': 1.6768853664398193, 'learning_rate': 5.517718715393134e-05, 'epoch': 3.14}
{'loss': 0.2855, 'grad_norm': 1.5701866149902344, 'learning_rate': 5.462347729789591e-05, 'epoch': 3.18}
{'loss': 0.2957, 'grad_norm': 1.6313371658325195, 'learning_rate': 5.406976744186046e-05, 'epoch': 3.22}
{'loss': 0.3128, 'grad_norm': 1.59086275100708, 'learning_rate': 5.351605758582503e-05, 'epoch': 3.26}
{'loss': 0.2932, 'grad_norm': 1.4626575708389282, 'learning_rate': 5.2962347729789596e-05, 'epoch': 3.29}
{'loss': 0.2976, 'grad_norm': 1.8804340362548828, 'learning_rate': 5.240863787375415e-05, 'epoch': 3.33}
{'loss': 0.2949, 'grad_norm': 1.8765991926193237, 'learning_rate': 5.185492801771872e-05, 'epoch': 3.37}
{'loss': 0.2983, 'grad_norm': 1.5096371173858643, 'learning_rate': 5.130121816168329e-05, 'epoch': 3.41}
{'loss': 0.2849, 'grad_norm': 1.624974012374878, 'learning_rate': 5.074750830564784e-05, 'epoch': 3.45}
{'loss': 0.2903, 'grad_norm': 1.3648381233215332, 'learning_rate': 5.019379844961241e-05, 'epoch': 3.49}
{'loss': 0.2922, 'grad_norm': 1.8226959705352783, 'learning_rate': 4.9640088593576966e-05, 'epoch': 3.53}
{'loss': 0.294, 'grad_norm': 1.8503164052963257, 'learning_rate': 4.9086378737541536e-05, 'epoch': 3.57}
{'loss': 0.2936, 'grad_norm': 1.9296185970306396, 'learning_rate': 4.853266888150609e-05, 'epoch': 3.61}
{'loss': 0.3065, 'grad_norm': 1.4964935779571533, 'learning_rate': 4.797895902547066e-05, 'epoch': 3.64}
{'loss': 0.2862, 'grad_norm': 2.3478446006774902, 'learning_rate': 4.742524916943522e-05, 'epoch': 3.68}
{'loss': 0.2864, 'grad_norm': 1.5905903577804565, 'learning_rate': 4.687153931339978e-05, 'epoch': 3.72}
